nit_sociedad
802025140
890111936
900104680
900210719
900218650
900345275
900348801
900353880
900414950
900437853
900457690
900495004
900495110
900514865
900521107
900528681
900537091
900540865
900554935
900600737
900612279
900612575
900615090
900622540
900666572
900668617
900672743
900683141
900686219
900688117
900694423
900698727
900701910
900707521
900707741
900708074
900708391
900708878
900709049
900713600
900715363
900724363
900730971
901160530
901684071
